id;name;street_address;postal_code;city;state_province;phone_number
1;commandeer irritating ah;um thing;although out;West Jeramy;bah huzzah neatly;11612
2;briefly provided threaten;keenly thankfully vacantly;even while export;Schroedermouth;whereas considering finally;32699
3;phew truthfully especially;happy-go-lucky;why upliftingly;Rennerhaven;whereas anticipation;31891
4;idealise precedence with;intelligence mmm;woot afterwards note;Fresno;through;16286
5;ugh fondly;resurrect;righteously zowie;New Margarete;unlike;14951
6;aboard;badly indeed;bug;Trompview;behind towards awkwardly;15086
7;stitch;since usually;mince;Coral Gables;absent unimpressively whereas;1749
8;emotional optimal;befog;rightfully meanwhile;Sincerestad;but;3219
9;boldly questioningly internal;opossum warped including;meh hm bijou;Troycester;angrily swiftly;28189
10;new;network snitch;ignorance easily authentic;Fort Vern;exactly stick;19655
