id;name;description;price;available_stock_quantity
1;populist humour underwire;like;19049.76;22005
2;ouch;honestly;31598.88;4253
3;separately while hideous;attentive;11377.45;27265
4;after excepting;excepting whose since;28596.46;23627
5;busily accidentally;cleverly;24792.18;17973
6;distortion yellow grizzled;conscious inwardly yet;20319.01;1079
7;upon;since lest bulge;32360.57;9311
8;gosh verification;intervenor;29535;20223
9;utterly towards;each;15678.38;16056
10;among ha strictly;huzzah alongside plump;15907.2;27301
