id;name;description;price;available_stock_quantity;valid_from;valid_to
1;however strict below;poorly black consequently;5009.31;23779;2024-03-30T02:06:25;2024-03-29T21:09:38
2;that failing;splendid;25365.78;10342;2024-03-30T04:53:34;2024-03-30T08:27:36
3;pleasure generally pro;optimistically gosh via;16758.61;3894;2024-03-30T16:09:20;2024-03-30T06:33:31
4;beyond begin;condominium tug;15791.35;12088;2024-03-30T13:25:15;2024-03-29T17:34:48
5;oh;spirited capital;9694.92;27034;2024-03-30T09:18:41;2024-03-30T03:17:59
6;viciously tonic;beneath creosote officially;4212.19;10965;2024-03-30T11:00:07;2024-03-29T21:26:17
7;linear oh;cloud;4557.07;30173;2024-03-30T04:35:33;2024-03-30T05:11:17
8;um zowie smoggy;yuck spanish;11914.32;15290;2024-03-30T15:58:50;2024-03-30T03:25:25
9;till;till;7434.7;479;2024-03-30T15:28:30;2024-03-30T11:53:39
10;pursuit;bitterly unless difficult;28500.51;2246;2024-03-30T04:14:58;2024-03-30T10:37:14
